emotion_id,nrc_term,perma_term,perma_category,perma_score
100,voice,cry,NEG_A,"0.0714799673
"
100,voice,cry,NEG_M,"0.0730122571
"
100,voice,cry,NEG_R,"0.1330188021
"
100,voice,cry,NEG_P,"0.2266317134
"
102,dust,dust,NEG_P,"0.0390838893
"
102,dust,money,POS_A,"0.1460678068
"
103,shock,shake,POS_A,"0.0226763177
"
106,catch,pocket,NEG_A,"0.0291467156
"
106,catch,taking,POS_M,"0.0231136573
"
106,catch,taking,POS_A,"0.0845991566
"
110,cast,cast,POS_M,"0.018797654
"
111,incense,hate,NEG_E,"0.1256905466
"
111,incense,hate,NEG_A,"0.0891290183
"
111,incense,hate,POS_R,"-0.288835072
"
111,incense,hate,POS_P,"-0.3404164056
"
111,incense,hate,NEG_M,"0.079440373
"
111,incense,hate,NEG_R,"0.3989263749
"
111,incense,hate,NEG_P,"0.6692425585
"
111,incense,hate,POS_A,"-0.1352580477
"
112,punctuality,truth,NEG_R,"0.0705080422
"
112,punctuality,truth,NEG_P,"0.0120846048
"
115,hate,hate,NEG_E,"0.1256905466
"
115,hate,hate,NEG_A,"0.0891290183
"
115,hate,hate,POS_R,"-0.288835072
"
115,hate,hate,POS_P,"-0.3404164056
"
115,hate,hate,NEG_M,"0.079440373
"
115,hate,hate,NEG_R,"0.3989263749
"
115,hate,hate,NEG_P,"0.6692425585
"
115,hate,hate,POS_A,"-0.1352580477
"
116,stupid,stupid,NEG_A,"0.0867548358
"
116,stupid,stupid,NEG_M,"0.062028236
"
116,stupid,stupid,NEG_R,"0.204433836
"
116,stupid,stupid,NEG_P,"0.3471585773
"
117,trash,stuff,POS_M,"-0.0185159333
"
118,unite,join,POS_E,"0.0807073263
"
119,law,right,NEG_E,"-0.0306250109
"
119,law,right,NEG_A,"0.0640154261
"
119,law,right,NEG_P,"0.0814133555
"
119,law,right,POS_E,"-0.042720698
"
120,shiver,cold,POS_R,"-0.1109208145
"
120,shiver,cold,POS_P,"-0.1516145565
"
120,shiver,cold,NEG_P,"0.0868880676
"
120,shiver,shake,POS_A,"0.0226763177
"
124,stop,stop,NEG_A,"0.0555305619
"
124,stop,rest,POS_R,"-0.0234756593
"
124,stop,stop,NEG_R,"0.1794377575
"
124,stop,stand,NEG_R,"0.1421183116
"
124,stop,stop,NEG_P,"0.1662911052
"
124,stop,rest,NEG_P,"0.0309417649
"
124,stop,stand,NEG_P,"0.0518454571
"
124,stop,stand,POS_M,"0.0276767485
"
124,stop,remain,POS_M,"0.047928896
"
124,stop,rest,POS_E,"0.0496244182
"
124,stop,stand,POS_E,"0.0682864532
"
124,stop,stop,POS_E,"0.0320478297
"
125,acknowledgment,thanksgiving,POS_P,"0.0219827298
"
126,obscure,darkness,NEG_E,"0.0482651413
"
126,obscure,darkness,NEG_M,"0.0776595773
"
126,obscure,darkness,POS_M,"0.0468239795
"
128,monotony,very,POS_R,"0.1343719831
"
128,monotony,very,POS_P,"0.1390638539
"
128,monotony,very,POS_M,"-0.0285959857
"
128,monotony,very,POS_A,"0.0186693884
"
128,monotony,very,POS_E,"0.0204903086
"
129,proof,pull,NEG_R,"0.0132130161
"
131,streak,line,POS_M,"-0.012299894
"
134,force,force,POS_M,"0.0545376939
"
136,reason,reason,NEG_E,"0.0422048136
"
136,reason,wisdom,POS_P,"0.1015619867
"
136,reason,reason,NEG_M,"0.018334701
"
136,reason,reason,NEG_P,"-0.0141103136
"
136,reason,wisdom,POS_M,"0.1685953008
"
136,reason,reason,POS_M,"0.0584053734
"
136,reason,wisdom,POS_A,"0.0638190969
"
137,part,part,POS_R,"0.0362054673
"
137,part,part,POS_M,"-0.0480717584
"
